ID de Evento,Hora de Inicio,Tipo de Dia
INFANTILES,12:00hs,Todos
INFANTILES,13:00hs,Todos
INFANTILES,14:00hs,Todos
INFANTILES,16:00hs,Todos
INFANTILES,17:00hs,Todos
INFANTILES,18:00hs,Todos
INFORMALES,09:00hs,Todos
INFORMALES,10:00hs,Todos
INFORMALES,11:00hs,Todos
INFORMALES,12:00hs,Todos
INFORMALES,13:00hs,Todos
INFORMALES,14:00hs,Todos
INFORMALES,15:00hs,Sabado
INFORMALES,16:00hs,Sabado
INFORMALES,17:00hs,Sabado
INFORMALES,18:00hs,Sabado
INFORMALES,19:00hs,Sabado
INFORMALES,20:00hs,Sabado
INFORMALES,21:00hs,Sabado
INFORMALES,22:00hs,Sabado
CON_SERVICIO_DE_MESA,09:00hs,Todos
CON_SERVICIO_DE_MESA,10:00hs,Todos
CON_SERVICIO_DE_MESA,11:00hs,Todos
CON_SERVICIO_DE_MESA,12:00hs,Todos
CON_SERVICIO_DE_MESA,18:00hs,Sabado
CON_SERVICIO_DE_MESA,19:00hs,Sabado
CON_SERVICIO_DE_MESA,20:00hs,Sabado
CON_SERVICIO_DE_MESA,21:00hs,Sabado
SIN_SERVICIO_DE_MESA,09:00hs,Todos
SIN_SERVICIO_DE_MESA,10:00hs,Todos
SIN_SERVICIO_DE_MESA,11:00hs,Todos
SIN_SERVICIO_DE_MESA,12:00hs,Todos
SIN_SERVICIO_DE_MESA,18:00hs,Sabado
SIN_SERVICIO_DE_MESA,19:00hs,Sabado
SIN_SERVICIO_DE_MESA,20:00hs,Sabado
SIN_SERVICIO_DE_MESA,21:00hs,Sabado
BABY_SHOWERS,12:00hs,Todos
BABY_SHOWERS,13:00hs,Todos
BABY_SHOWERS,14:00hs,Todos
BABY_SHOWERS,16:00hs,Todos
BABY_SHOWERS,17:00hs,Sabado
BABY_SHOWERS,18:00hs,Sabado
FECHA_BANDAS,12:00hs,Todos
FECHA_BANDAS,21:00hs,Sabado
DEPILACION_DEFINITIVA,09:00hs,Sabado
DEPILACION_DEFINITIVA,09:00hs,Domingo
