ID_Evento (FK),RolRequerido,Cantidad,Min_Personas,Max_Personas
INFANTILES,Encargada,1,0,120
INFANTILES,Cocinera,1,0,120
INFANTILES,Puerta,1,0,120
INFANTILES,Mesera,1,51,60
INFANTILES,Mesera,2,61,80
INFANTILES,Mesera,3,81,100
INFANTILES,Mesera,4,101,120
INFANTILES,Ayudante de cocina,1,51,80
INFANTILES,Ayudante de cocina,2,81,120
CON_SERVICIO_DE_MESA,Encargada,1,0,120
CON_SERVICIO_DE_MESA,Cocinera,1,0,120
CON_SERVICIO_DE_MESA,Puerta,1,0,120
CON_SERVICIO_DE_MESA,Mesera,1,51,60
CON_SERVICIO_DE_MESA,Mesera,2,61,80
CON_SERVICIO_DE_MESA,Mesera,3,81,100
CON_SERVICIO_DE_MESA,Mesera,4,101,120
CON_SERVICIO_DE_MESA,Ayudante de cocina,1,51,80
CON_SERVICIO_DE_MESA,Ayudante de cocina,2,81,120
BABY_SHOWERS,Encargada,1,0,120
BABY_SHOWERS,Cocinera,1,0,120
BABY_SHOWERS,Puerta,1,0,120
BABY_SHOWERS,Mesera,1,51,60
BABY_SHOWERS,Mesera,2,61,80
BABY_SHOWERS,Mesera,3,81,100
BABY_SHOWERS,Mesera,4,101,120
BABY_SHOWERS,Ayudante de cocina,1,51,80
BABY_SHOWERS,Ayudante de cocina,2,81,120
INFORMALES,Encargada,1,0,120
INFORMALES,Puerta,1,0,120
